"x","y"
42998.7943702891,24084.7066260539
43013.1067795008,24073.8101197474
43008.5982583351,24082.7361063538
36503.8905532549,35490.4661556632
19431.3372304638,20743.6270836332
19438.6090489676,20736.7626349556
12296.8158216792,19831.6039452761
12315.8473502201,19831.3320965523
12306.2877249988,19828.3972261577
25797.9677852483,15961.8446345937
23334.6494855964,31772.0292665788
24180.7707346743,20708.2086982733
24184.8109737601,20717.3561825247
39167.7248048241,22525.6960989672
40046.3115221091,16512.074397831
12300.3250543907,18557.7985550156
12302.326210202,18579.0100039487
12291.2188097518,18562.6670796188
12308.0204962215,18569.0847778008
12298.0493809408,18569.9707292018
25176.5555033835,34920.0967590636
14929.6486430407,31184.6758517448
41362.2083550097,24406.8737863275
41377.5416290282,24408.0497721141
41370.363911987,24401.0870004848
30789.5049431018,26359.9933416447
19613.894557588,19150.9465021693
19604.4823860154,19166.5283703638
19605.6433020126,19156.59598525
28093.2536916049,35541.1800442778
28112.9133368158,35533.9996541473
28095.1774771038,35530.5259287906
28108.6465980512,35544.8667624338
28103.2222114889,35536.4658150414
29903.8328348422,31104.6206020854
26788.6689076555,30175.3165547255
11195.8813408204,16677.7073079469
41754.0164476069,27567.4334303834
41751.6113068364,27557.7269738789
34848.5888394098,33921.5772793651
30190.2738604079,17828.3086790795
30192.7527221354,17837.996570725
41377.792601594,26304.6685840778
41383.4747535351,26296.4397840851
14103.6641981341,16022.7467862145
14120.4964809367,16036.7896596936
14113.1824153242,16025.8133056618
14110.5394700755,16035.4577255294
20408.3998488691,31158.317177182
6726.02607252569,32816.9622089229
21497.5088969778,30516.1006902619
19719.1497947988,39378.0409260539
19728.0098975549,39373.4042700228
30096.3570707795,32688.5213589387
30093.4577406941,32678.9508895115
9572.11945814911,20160.4330269731
9565.49717637223,20167.9260493318
23037.2998849491,11862.9042438267
23031.3072425096,11883.7344576197
23045.1013370043,11869.2813684706
23028.1433565942,11873.44058618
23037.8746738108,11876.19333918
12040.0753283148,36891.6005685857
33325.3729358733,23822.2746662161
33335.2304239034,23820.592426716
